61.0  0.99861666 0.00000323 0.00000483 0.00028526 0.00003483 0.00001098 0.00005171 0.00049124 0.00006049 0.00044077  1.00000000
61.5  0.99870931 0.00000047 0.00000123 0.00030628 0.00004035 0.00003225 0.00010507 0.00047839 0.00003755 0.00028912  1.00000000
62.0  0.99876391 0.00001941 0.00000069 0.00030155 0.00003249 0.00002721 0.00009457 0.00049862 0.00002384 0.00023771  1.00000000
62.5  0.99866787 0.00000946 0.00000018 0.00024339 0.00004583 0.00001480 0.00004403 0.00049636 0.00003609 0.00044199  1.00000000
63.0  0.99868178 0.00004686 0.00000025 0.00023024 0.00002450 0.00001820 0.00003818 0.00048131 0.00004417 0.00043450  1.00000000
63.5  0.99886023 0.00003290 0.00000061 0.00015668 0.00008498 0.00002623 0.00009640 0.00046944 0.00004313 0.00022940  1.00000000
64.0  0.99871269 0.00008181 0.00000093 0.00024238 0.00000945 0.00002856 0.00012516 0.00047200 0.00002271 0.00030432  1.00000000
64.5  0.99850396 0.00007000 0.00000175 0.00022462 0.00004499 0.00001468 0.00010660 0.00045289 0.00004870 0.00053180  1.00000000
65.0  0.99863145 0.00011465 0.00000111 0.00026871 0.00003035 0.00003442 0.00003740 0.00045588 0.00001933 0.00040668  1.00000000
65.5  0.99881592 0.00011171 0.00000187 0.00025322 0.00002041 0.00003326 0.00009349 0.00041248 0.00004473 0.00021290  1.00000000
66.0  0.99868831 0.00013192 0.00000193 0.00020760 0.00001799 0.00006018 0.00031201 0.00020651 0.00002899 0.00034457  1.00000000
66.5  0.99863012 0.00015499 0.00000056 0.00019675 0.00001499 0.00004099 0.00027874 0.00026708 0.00001036 0.00040541  1.00000000
67.0  0.99882518 0.00012188 0.00000192 0.00019148 0.00000939 0.00004209 0.00023766 0.00025654 0.00002287 0.00029099  1.00000000
67.5  0.99875208 0.00017990 0.00000043 0.00020606 0.00002737 0.00006889 0.00015767 0.00023230 0.00002043 0.00035488  1.00000000
68.0  0.99881045 0.00010346 0.00000096 0.00022186 0.00001667 0.00007041 0.00011045 0.00021653 0.00003822 0.00041098  1.00000000
