#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.50346
13    37    -0.06275 
13    38    0.00002 
13    39    -0.06427 
13    40    0.11482 
13    41    0.11482 
13    42    -0.00024 
13    43    0.00128 
13    44    0.01203 
13    45    0.00000 
13    46    -0.00002 
13    47    0.00254 
13    48    -0.00885 
13    49    -0.00010 
13    50    0.00277 
13    51    -0.00000 
13    52    0.00254 
13    53    -0.00886 
13    54    -0.00011 
13    55    -0.00277 
13    56    -0.00000 
MO:14   -0.72628
14    1    -0.13959 
14    2    0.35317 
14    3    0.03493 
14    4    0.00001 
14    5    -0.00045 
14    6    -0.10856 
14    7    0.27339 
14    8    0.00867 
14    9    0.06627 
14    10    -0.00040 
14    11    -0.07543 
14    12    0.18788 
14    13    -0.05057 
14    14    0.03179 
14    15    0.00002 
14    16    -0.03588 
14    17    0.09608 
14    18    -0.10226 
14    19    0.00000 
14    20    -0.00071 
14    21    -0.07543 
14    22    0.18788 
14    23    -0.05057 
14    24    -0.03179 
14    25    0.00002 
14    26    -0.10857 
14    27    0.27340 
14    28    0.00867 
14    29    -0.06628 
14    30    -0.00040 
14    31    0.04926 
14    32    0.03186 
14    33    0.03187 
14    34    0.04926 
14    35    0.07114 
14    36    -0.24092 
14    37    -0.01967 
14    38    -0.00001 
14    39    0.02725 
14    40    -0.05639 
14    41    -0.05639 
14    42    -0.01826 
14    43    0.06760 
14    44    0.16441 
14    45    0.00000 
14    46    -0.00024 
14    47    0.02976 
14    48    -0.10842 
14    49    0.00705 
14    50    0.02972 
14    51    -0.00002 
14    52    0.02976 
14    53    -0.10843 
14    54    0.00705 
14    55    -0.02972 
14    56    -0.00002 
MO:15   -0.64664
15    1    -0.12015 
15    2    0.32136 
15    3    -0.10348 
15    4    0.00002 
15    5    -0.00005 
15    6    -0.00685 
15    7    0.02099 
15    8    -0.10445 
15    9    0.03953 
15    10    0.00031 
15    11    0.09215 
15    12    -0.24200 
15    13    -0.02084 
15    14    -0.05353 
15    15    0.00004 
15    16    0.09823 
15    17    -0.27058 
15    18    0.11070 
15    19    0.00002 
15    20    0.00005 
15    21    0.09211 
15    22    -0.24188 
15    23    -0.02086 
15    24    0.05353 
15    25    0.00004 
15    26    -0.00689 
15    27    0.02111 
15    28    -0.10443 
15    29    -0.03953 
15    30    0.00031 
15    31    0.00991 
15    32    -0.05630 
15    33    -0.05627 
15    34    0.00994 
15    35    -0.07031 
15    36    0.25033 
15    37    0.09028 
15    38    0.00002 
15    39    -0.03383 
15    40    0.08159 
15    41    0.08160 
15    42    -0.05289 
15    43    0.19767 
15    44    0.28798 
15    45    -0.00000 
15    46    -0.00039 
15    47    0.04880 
15    48    -0.18662 
15    49    0.02640 
15    50    0.03838 
15    51    -0.00004 
15    52    0.04880 
15    53    -0.18660 
15    54    0.02640 
15    55    -0.03837 
15    56    -0.00004 
MO:16   -0.63391
16    1    0.00002 
16    2    -0.00005 
16    3    0.00003 
16    4    0.13256 
16    5    0.00000 
16    6    0.12555 
16    7    -0.33597 
16    8    -0.06382 
16    9    0.01351 
16    10    0.00066 
16    11    0.12908 
16    12    -0.34359 
16    13    0.05562 
16    14    0.01374 
16    15    0.00019 
16    16    -0.00002 
16    17    0.00005 
16    18    -0.00002 
16    19    0.14846 
16    20    0.00000 
16    21    -0.12911 
16    22    0.34366 
16    23    -0.05561 
16    24    0.01373 
16    25    -0.00019 
16    26    -0.12555 
16    27    0.33596 
16    28    0.06385 
16    29    0.01351 
16    30    -0.00066 
16    31    -0.08843 
16    32    -0.09662 
16    33    0.09664 
16    34    0.08843 
16    35    0.00001 
16    36    -0.00004 
16    37    -0.00001 
16    38    0.04378 
16    39    0.00001 
16    40    -0.01915 
16    41    0.01913 
16    42    0.00001 
16    43    -0.00005 
16    44    -0.00006 
16    45    -0.00993 
16    46    0.00001 
16    47    0.00978 
16    48    -0.03772 
16    49    0.00070 
16    50    0.00868 
16    51    -0.00001 
16    52    -0.00980 
16    53    0.03781 
16    54    -0.00071 
16    55    0.00870 
16    56    0.00001 
MO:17   -0.55205
17    1    -0.00437 
17    2    0.01418 
17    3    -0.22333 
17    4    -0.00001 
17    5    0.00064 
17    6    0.09075 
17    7    -0.25544 
17    8    -0.02475 
17    9    0.00046 
17    10    0.00062 
17    11    -0.01022 
17    12    0.03250 
17    13    0.14050 
17    14    0.07613 
17    15    0.00078 
17    16    -0.12096 
17    17    0.35408 
17    18    -0.00249 
17    19    0.00001 
17    20    0.00448 
17    21    -0.01023 
17    22    0.03254 
17    23    0.14050 
17    24    -0.07614 
17    25    0.00077 
17    26    0.09075 
17    27    -0.25545 
17    28    -0.02474 
17    29    -0.00045 
17    30    0.00062 
17    31    -0.08123 
17    32    0.00800 
17    33    0.00801 
17    34    -0.08123 
17    35    0.04964 
17    36    -0.19058 
17    37    -0.21158 
17    38    -0.00001 
17    39    0.03926 
17    40    -0.11419 
17    41    -0.11418 
17    42    -0.07641 
17    43    0.30039 
17    44    0.27835 
17    45    0.00000 
17    46    -0.00027 
17    47    0.05199 
17    48    -0.21134 
17    49    0.04436 
17    50    0.01379 
17    51    -0.00002 
17    52    0.05199 
17    53    -0.21134 
17    54    0.04436 
17    55    -0.01379 
17    56    -0.00001 
MO:18   -0.51746
18    1    0.00000 
18    2    -0.00001 
18    3    0.00000 
18    4    -0.21758 
18    5    -0.00001 
18    6    -0.10014 
18    7    0.28891 
18    8    -0.10460 
18    9    -0.00537 
18    10    -0.00001 
18    11    0.08329 
18    12    -0.23906 
18    13    -0.15010 
